date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:30	129/129	---M-Z	200	added ('OK')	text/plain	date:Sat,%2010%20Aug%202024%2004:59:21%20GMT	https://likely-story.co.uk/robots.txt		(from )
10:29:30	44119/44119	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2004:59:21%20GMT	https://likely-story.co.uk/	C:/My%20Web%20Sites/ss/likely-story.co.uk/index.html	(from )
10:29:30	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2010%20Aug%202024%2004:59:21%20GMT	https://likely-story.co.uk/xmlrpc.php	C:/My%20Web%20Sites/ss/likely-story.co.uk/xmlrpc.php	(from https://likely-story.co.uk/)
10:29:30	113381/113381	---M-Z	200	added ('OK')	text/css	etag:%2248e107d-1bae5-617ddd9babc43-gzip%22	https://likely-story.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=6.5.2	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-includes/css/dist/block-library/style.mine63c.css	(from https://likely-story.co.uk/)
10:29:31	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%224760539-b4e-617de867342d6-gzip%22	https://likely-story.co.uk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.4	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/plugins/contact-form-7/includes/css/styles9bd2.css	(from https://likely-story.co.uk/)
10:29:31	710/710	---M-Z	200	added ('OK')	application/rss+xml	etag:%22efb061990749da3a25d5c8cd5f0fd8c1-gzip%22	https://likely-story.co.uk/home/feed/	C:/My%20Web%20Sites/ss/likely-story.co.uk/home/feed/index.html	(from https://likely-story.co.uk/)
10:29:31	337/337	---M-Z	200	added ('OK')	text/css	etag:%224780cd4-151-5bda5fd270680-gzip%22	https://likely-story.co.uk/wp-content/themes/Likely%20Story/style.css?ver=6.5.2	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/themes/Likely%20Story/stylee63c.css	(from https://likely-story.co.uk/)
10:29:32	87553/87553	---M-Z	200	added ('OK')	text/javascript	etag:%2248e1206-15601-617ddd9913714-gzip%22	https://likely-story.co.uk/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-includes/js/jquery/jquery.minf43b.js	(from https://likely-story.co.uk/)
10:29:32	364115/364115	---MCZ	200	added ('OK')	text/css	etag:%22474023a-58e53-617deded00b17-gzip%22	https://likely-story.co.uk/wp-content/themes/Likely%20Story/dist/css/main.css?ver=1.3	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/themes/Likely%20Story/dist/css/main4e44.css	(from https://likely-story.co.uk/)
10:29:32	13577/13577	---M-Z	200	added ('OK')	text/javascript	etag:%2248e11fe-3509-617ddd9932b18-gzip%22	https://likely-story.co.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://likely-story.co.uk/)
10:29:33	5646/5646	---MC-	200	added ('OK')	application/json	date:Sat,%2010%20Aug%202024%2004:59:24%20GMT	https://likely-story.co.uk/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-json/wp/v2/pages/2.json	(from https://likely-story.co.uk/)
10:29:33	226042/226042	---MC-	200	added ('OK')	application/json	date:Sat,%2010%20Aug%202024%2004:59:24%20GMT	https://likely-story.co.uk/wp-json/	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-json/index.html	(from https://likely-story.co.uk/)
10:29:33	823/823	---M-Z	200	added ('OK')	text/xml	date:Sat,%2010%20Aug%202024%2004:59:24%20GMT	https://likely-story.co.uk/xmlrpc.php?rsd	C:/My%20Web%20Sites/ss/likely-story.co.uk/xmlrpc0db0.php	(from https://likely-story.co.uk/)
10:29:34	2291/2291	---MC-	200	added ('OK')	application/json	date:Sat,%2010%20Aug%202024%2004:59:25%20GMT	https://likely-story.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flikely-story.co.uk%2F	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-json/oembed/1.0/embed9be8.json	(from https://likely-story.co.uk/)
10:29:34	2462/2462	---M-Z	200	added ('OK')	text/xml	date:Sat,%2010%20Aug%202024%2004:59:25%20GMT	https://likely-story.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flikely-story.co.uk%2F&format=xml	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-json/oembed/1.0/embed76bf	(from https://likely-story.co.uk/)
10:29:34	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/ss/www.google-analytics.com/analytics.js	(from https://likely-story.co.uk/)
10:29:35	597/597	---M--	200	added ('OK')	image/png	etag:%2247a0d13-255-5d6e7d6145740%22	https://likely-story.co.uk/wp-content/uploads/2022/01/cropped-ls-new-fav@2x-32x32.png	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/uploads/2022/01/cropped-ls-new-fav@2x-32x32.png	(from https://likely-story.co.uk/)
10:29:35	6223/6223	---M--	200	added ('OK')	image/png	etag:%2247a0d10-184f-5d6e7cede0700%22	https://likely-story.co.uk/wp-content/uploads/2022/01/cropped-ls-new-fav@2x-192x192.png	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/uploads/2022/01/cropped-ls-new-fav@2x-192x192.png	(from https://likely-story.co.uk/)
10:29:35	5841/5841	---M--	200	added ('OK')	image/png	etag:%2247a0d0f-16d1-5d6e7ca0a10c0%22	https://likely-story.co.uk/wp-content/uploads/2022/01/cropped-ls-new-fav@2x-180x180.png	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/uploads/2022/01/cropped-ls-new-fav@2x-180x180.png	(from https://likely-story.co.uk/)
10:29:35	228973/228973	---M--	200	added ('OK')	image/png	etag:%224780d16-37e6d-5bde234951f80%22	https://likely-story.co.uk/wp-content/themes/Likely%20Story/dist/images/shapes/hero-shape.png	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/themes/Likely%20Story/dist/images/shapes/hero-shape.png	(from https://likely-story.co.uk/)
10:29:36	574913/574913	---M--	200	added ('OK')	image/png	etag:%224780d15-8c5c1-5c945961d9200%22	https://likely-story.co.uk/wp-content/themes/Likely%20Story/dist/images/shapes/hero-main.png	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/themes/Likely%20Story/dist/images/shapes/hero-main.png	(from https://likely-story.co.uk/)
10:29:36	9922/9922	---M--	200	added ('OK')	image/png	etag:%224780d14-26c2-5c8cd7a952980%22	https://likely-story.co.uk/wp-content/themes/Likely%20Story/dist/images/shapes/hero-main-blink.png	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/themes/Likely%20Story/dist/images/shapes/hero-main-blink.png	(from https://likely-story.co.uk/)
10:29:36	353605/353605	---M--	200	added ('OK')	image/svg+xml	etag:%224781821-56545-5d6e82620e500%22	https://likely-story.co.uk/wp-content/uploads/2021/07/showreel-cover.svg	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/uploads/2021/07/showreel-cover.svg	(from https://likely-story.co.uk/)
10:29:36	33763/33763	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2004:59:27%20GMT	https://likely-story.co.uk/about/	C:/My%20Web%20Sites/ss/likely-story.co.uk/about/index.html	(from https://likely-story.co.uk/)
10:29:36	43441/43441	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2004:59:27%20GMT	https://likely-story.co.uk/projects/	C:/My%20Web%20Sites/ss/likely-story.co.uk/projects/index.html	(from https://likely-story.co.uk/)
10:29:36	89536/89536	---M--	200	added ('OK')	image/jpeg	etag:%2247e0ead-15dc0-6186b264a8a76%22	https://likely-story.co.uk/wp-content/uploads/2024/05/cover-620x768.jpg	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/uploads/2024/05/cover-620x768.jpg	(from https://likely-story.co.uk/)
10:29:37	32584/32584	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2004:59:28%20GMT	https://likely-story.co.uk/contact/	C:/My%20Web%20Sites/ss/likely-story.co.uk/contact/index.html	(from https://likely-story.co.uk/)
10:29:37	102848/102848	---M--	200	added ('OK')	image/jpeg	etag:%2248e0f39-191c0-6186e17fd0504%22	https://likely-story.co.uk/wp-content/uploads/2023/09/cover-620x768.jpg	C:/My%20Web%20Sites/ss/likely-story.co.uk/wp-content/uploads/2023/09/cover-620x768.jpg	(from https://likely-story.co.uk/)
10:29:37	49176/49176	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2004:59:28%20GMT	https://likely-story.co.uk/projects/askonas-holt/	C:/My%20Web%20Sites/ss/likely-story.co.uk/projects/askonas-holt/index.html	(from https://likely-story.co.uk/)
10:29:37	44453/44453	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202024%2004:59:28%20GMT	https://likely-story.co.uk/projects/bertch-capital/	C:/My%20Web%20Sites/ss/likely-story.co.uk/projects/bertch-capital/index.html	(from https://likely-story.co.uk/)
